case_id,submitted_at,department,jurisdiction,case_type,description,risk_level
CASE000001,2025-09-10T17:00:00,Sales,UAE,complaint_response,Need response template for complaint.,high
CASE000002,2025-12-16T00:00:00,Marketing,UAE,complaint_response,Ingredient substitution due to supplier shortage.,medium
CASE000003,2025-11-13T22:00:00,IT,KSA,label_change,Ad copy includes before/after images.,low
CASE000004,2025-01-09T21:00:00,Sales,UAE,ingredient_change,Need response template for complaint.,medium
CASE000005,2025-06-28T02:00:00,SupplyChain,EG,ad_copy,Need response template for complaint.,high
CASE000006,2025-09-16T22:00:00,HR,UAE,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000007,2025-03-22T22:00:00,SupplyChain,EU,ad_copy,Need approval for a new claim on packaging.,low
CASE000008,2025-07-11T13:00:00,HR,UAE,complaint_response,Ingredient substitution due to supplier shortage.,low
CASE000009,2025-02-14T06:00:00,HR,EG,complaint_response,Need response template for complaint.,low
CASE000010,2025-08-26T06:00:00,Sales,EU,label_change,Customer data request processing guidance.,low
CASE000011,2025-01-06T03:00:00,HR,EU,complaint_response,Customer data request processing guidance.,high
CASE000012,2025-11-12T16:00:00,HR,UAE,complaint_response,Need response template for complaint.,low
CASE000013,2025-10-02T19:00:00,IT,UAE,label_change,Need approval for a new claim on packaging.,medium
CASE000014,2025-12-01T22:00:00,SupplyChain,UAE,data_request,Need response template for complaint.,high
CASE000015,2025-09-22T03:00:00,Sales,EU,label_change,Customer data request processing guidance.,medium
CASE000016,2025-08-10T11:00:00,Marketing,EG,data_request,Ad copy includes before/after images.,medium
CASE000017,2025-05-22T23:00:00,Marketing,KSA,label_change,Need response template for complaint.,low
CASE000018,2025-01-29T03:00:00,IT,UAE,label_change,Need response template for complaint.,low
CASE000019,2025-05-27T14:00:00,HR,EU,data_request,Ad copy includes before/after images.,medium
CASE000020,2025-08-22T23:00:00,HR,KSA,ad_copy,Need approval for a new claim on packaging.,medium
CASE000021,2025-04-23T06:00:00,SupplyChain,UAE,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000022,2025-09-23T14:00:00,IT,UAE,ad_copy,Customer data request processing guidance.,medium
CASE000023,2025-12-01T02:00:00,Marketing,UAE,complaint_response,Customer data request processing guidance.,medium
CASE000024,2025-08-02T13:00:00,Sales,EG,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000025,2025-09-26T02:00:00,HR,EG,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000026,2025-06-17T19:00:00,SupplyChain,EU,label_change,Ingredient substitution due to supplier shortage.,low
CASE000027,2025-05-30T14:00:00,Marketing,UAE,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000028,2025-03-20T20:00:00,IT,EU,label_change,Customer data request processing guidance.,high
CASE000029,2025-10-01T15:00:00,HR,KSA,data_request,Need response template for complaint.,low
CASE000030,2025-09-18T13:00:00,Marketing,EG,ingredient_change,Need response template for complaint.,low
CASE000031,2025-04-26T14:00:00,Sales,EG,label_change,Ad copy includes before/after images.,high
CASE000032,2025-07-28T18:00:00,HR,UAE,ad_copy,Need response template for complaint.,low
CASE000033,2025-11-18T02:00:00,IT,KSA,complaint_response,Need approval for a new claim on packaging.,low
CASE000034,2025-11-21T09:00:00,IT,KSA,data_request,Need approval for a new claim on packaging.,high
CASE000035,2025-02-04T22:00:00,Sales,EU,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000036,2025-07-23T17:00:00,Sales,EG,label_change,Ad copy includes before/after images.,high
CASE000037,2025-10-16T22:00:00,Marketing,UAE,ad_copy,Customer data request processing guidance.,low
CASE000038,2025-12-08T05:00:00,Marketing,EG,data_request,Need response template for complaint.,low
CASE000039,2025-12-20T09:00:00,Sales,EG,ad_copy,Need response template for complaint.,medium
CASE000040,2025-04-30T10:00:00,IT,EU,ad_copy,Customer data request processing guidance.,low
CASE000041,2025-09-30T02:00:00,SupplyChain,KSA,complaint_response,Need approval for a new claim on packaging.,medium
CASE000042,2025-04-30T02:00:00,Sales,EG,data_request,Ingredient substitution due to supplier shortage.,high
CASE000043,2025-05-27T22:00:00,Marketing,UAE,data_request,Ad copy includes before/after images.,medium
CASE000044,2025-01-12T04:00:00,Sales,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000045,2025-01-03T06:00:00,Sales,UAE,ad_copy,Ad copy includes before/after images.,low
CASE000046,2025-01-17T13:00:00,HR,EG,label_change,Ingredient substitution due to supplier shortage.,low
CASE000047,2025-06-16T05:00:00,IT,EG,ingredient_change,Need response template for complaint.,low
CASE000048,2025-09-12T06:00:00,IT,EG,complaint_response,Ingredient substitution due to supplier shortage.,medium
CASE000049,2025-08-23T08:00:00,IT,UAE,complaint_response,Need approval for a new claim on packaging.,high
CASE000050,2025-03-10T06:00:00,Marketing,EU,ad_copy,Need response template for complaint.,low
CASE000051,2025-07-05T19:00:00,Marketing,EU,data_request,Ingredient substitution due to supplier shortage.,low
CASE000052,2025-05-20T04:00:00,IT,KSA,label_change,Need response template for complaint.,high
CASE000053,2025-01-11T08:00:00,IT,UAE,label_change,Need response template for complaint.,low
CASE000054,2025-10-19T05:00:00,Sales,EG,complaint_response,Ad copy includes before/after images.,medium
CASE000055,2025-12-25T21:00:00,Marketing,KSA,complaint_response,Ad copy includes before/after images.,medium
CASE000056,2025-09-15T00:00:00,IT,EG,data_request,Need approval for a new claim on packaging.,medium
CASE000057,2025-06-09T12:00:00,HR,EG,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000058,2025-11-25T10:00:00,HR,UAE,complaint_response,Customer data request processing guidance.,high
CASE000059,2025-02-12T17:00:00,HR,UAE,label_change,Ingredient substitution due to supplier shortage.,low
CASE000060,2025-06-14T13:00:00,Marketing,EU,data_request,Need response template for complaint.,high
CASE000061,2025-03-15T00:00:00,HR,KSA,data_request,Need approval for a new claim on packaging.,high
CASE000062,2025-06-04T00:00:00,Marketing,KSA,complaint_response,Need approval for a new claim on packaging.,low
